Route,Location,Latitude,Longitude,URL,votes_most_log
Bird Hole Right (V3 3.4 68),Big East Block,37.33289,-107.88312,https://www.mountainproject.com/route/106472288/bird-hole-right,1.8325089127062364
"Chalk Block (V2 2.8 111) 
 Warm-Up Arete (V1 2.3 108) 
 Chalk Block Left (V4 2.5 71) 
 Backside Problem (V2 2.0 43) 
 Crimp Face Right (V3 1.7 42)",Warm-Up Block Two,39.63364,-105.70949,https://www.mountainproject.com/route/113383600/chalk-block,2.0453229787866576
"Mental Standard (V4 3.8 61) 
 Cornerlock (V4 3.3 41) 
 Tiger Face (V2- 2.4 59) 
 Face Full Of Greens AKA Fist Full Of Greens (V4-5 3.0 10) 
 Willie's Lunge (V4 3.3 3)",Mental Block,40.5668,-105.1559,https://www.mountainproject.com/route/105751264/mental-standard,1.7853298350107671
"The Seam (V2 3.2 73) 
 Wilford Prow (V1 4.0 4) 
 The Seam 2 (V3 2.5 21)",The Spice Roof,40.32189,-105.21337,https://www.mountainproject.com/route/106066606/the-seam,1.863322860120456
"Sputnik One (V1 2.9 120) 
 Sputnik Two (V0 2.3 107) 
 Sputnik Left (V1 1.6 77) 
 Sputnik 1.5 (V1 2.0 43)",Sputnik Boulder,39.98948,-105.29028,https://www.mountainproject.com/route/105757156/sputnik-one,2.0791812460476247
"Bolt Wall (V1- X 3.3 72) 
 Cat's Eye Face (V3 R 3.2 59) 
 Bolt Wall Chimney (V0- 2.6 51) 
 Pin Scar Finger Crack (V2 2.7 28) 
 Knob Boy Arete (V1+ 2.2 38) 
 Cat Eye Wall: Upper Roof (aka Face It, You're a Flake) (V0 2.2 26) 
 Corner Cling (5.9 V0 2.3 21)","South Ridgeline, including Cat's Eye Face & Bolt Wall",40.56575,-105.1553,https://www.mountainproject.com/route/105761832/bolt-wall,1.8573324964312685
"Flint Lock (V4 2.9 112) 
 The Plank (V2 2.3 73) 
 Long Blade (V3-4 2.3 43) 
 2nd Mate (V4 2.5 27) 
 Cape Horn (V2 3.3 3)",Pirate's Cove,39.6267,-105.3587,https://www.mountainproject.com/route/106444271/flint-lock,2.0492180226701815
"Trailside Problem (V4 2.9 110) 
 Sit Starts Matter (V3 2.8 111) 
 Far Right SDS (V2 2.6 75) 
 Far Left (V4 2.5 67) 
 Easy Way Up (V1 1.9 46) 
 Dyno (V3-4 2.3 23) 
 Lip Traverse (V1 PG13 2.4 20)",Main Warm-Ups,39.63555,-105.70926,https://www.mountainproject.com/route/113386899/trailside-problem,2.041392685158225
"Potato Chip Layback (V3 3.0 84) 
 Middle Warm up (V1 2.1 68) 
 Potato Chip Pinch (V4 3.0 24)",The Potato Chip Boulder,40.30493,-105.65957,https://www.mountainproject.com/route/106851602/potato-chip-layback,1.9242792860618816
"Southwest Prow (V0 3.0 234) 
 South Face (V0 2.0 97) 
 West Face Traverse (V4 2.3 39)",Beer Barrel Boulder,40.00111,-105.29705,https://www.mountainproject.com/route/105749257/southwest-prow,2.369215857410143
"The Pillar (V2 3.0 87) 
 That Flakes It (V4 2.7 109) 
 That Flakes It Arete (V1 2.2 79) 
 Jim Hall Traverse (V4 2.7 45) 
 Deeper Cuts (V4 2.8 29) 
 Valkyrie (V4- 2.6 29) 
 The Night Tran (V3 2.6 24) 
 Deep Cuts (V1+ 2.2 25) 
 Exit Stage Right (V4 2.4 19)",Jim Hall Boulder,40.00311,-105.29459,https://www.mountainproject.com/route/107514862/the-pillar,1.9395192526186185
"North Dihedral (V1 3.0 114) 
 Northeast Corner (V0 2.5 129) 
 Southeast Slab (V1 2.2 63) 
 North Reach (V1 2.6 52) 
 South Face (V3-4 2.3 50) 
 Gill Face (V2 PG13 2.4 49) 
 SDS to Northeast Reach (submitted as The Blunt Arete) (V3+ 2.8 31) 
 North Face Mantel (V2 2.7 32) 
 East Face (V3 3.1 21)",The Gill Boulder,39.93105,-105.29186,https://www.mountainproject.com/route/105992471/north-dihedral,2.0569048513364727
"Penny Pincher (V3+ 3.1 105) 
 My Two Cents (aka Penny Standard) (V2 2.8 122) 
 Penny Lunge (V0+ 2.5 131) 
 Southwest Arete (V0 PG13 2.0 67) 
 Right Traverse (V3 PG13 2.4 51) 
 Penny Standard (aka Right of Penny Pincher) (V2+ 2.6 44) 
 Penny Boulder Traverse (V2 2.4 39)",Pitch Penny Boulder,40.5671,-105.15625,https://www.mountainproject.com/route/105755050/penny-pincher,2.0211892990699383
"Dihedral Problem (V2 3.0 171) 
 V0 (V0+ 2.5 78) 
 Western Edge (V0 1.8 53) 
 The Haus Toss (V4+ 2.9 15)",Trailside Egg,39.62964,-105.34446,https://www.mountainproject.com/route/106257778/dihedral-problem,2.2329961103921536
