Route,Location,Latitude,Longitude,URL,votes_most_log
"NE Face (V1 2.3 4) 
 Moonjuice (V4 2.0 1) 
 West Face - Downclimb (V0 2.0 1) 
 South Arete (V0 1.0 1)",First Boulder,40.51347,-114.15426,https://www.mountainproject.com/route/108129375/ne-face,0.6020599913279624
"Laffy Taffy (V1 2.3 4) 
 Left arête, Laffy Taffy boulder (V2 1.0 1)",Laffy Taffy,36.15489,-115.43624,https://www.mountainproject.com/route/109783831/laffy-taffy,0.6020599913279624
"Right face (V2-3 2.1 7) 
 Mate in Two (V3-4 2.1 8) 
 Queen's Gambit (V1 1.8 10) 
 Front Mantle (V2 2.0 2)",Chess Boulder,36.16011,-115.41796,https://www.mountainproject.com/route/120588302/right-face,0.8450980400142568
Avian flu (V4 2.2 6),Avian Flu,36.16185,-115.41209,https://www.mountainproject.com/route/118067194/avian-flu,0.7781512503836436
Constant Fight (5.11a V3-4 2.3 3),Snake Eyes Wall,35.71503,-114.92544,https://www.mountainproject.com/route/110925828/constant-fight,0.47712125471966244
The Trooper (V3 2.3 3),G.I. Joe Boulder,39.2676,-119.96541,https://www.mountainproject.com/route/122955753/the-trooper,0.47712125471966244
"Sanuk Traverse (V3-4 2.3 3) 
 Main Wall Left (V3-4 1.7 3)",Main Cave,36.32395,-115.6182,https://www.mountainproject.com/route/122902010/sanuk-traverse,0.47712125471966244
"Center (V3 2.5 4) 
 Soft Opening (V4 2.0 3) 
 Crack (V1 2.0 3) 
 Key Grip (V2+ 2.0 2) 
 Jupiter Traverse (V1 2.7 3)",Stagehand Boulders,36.16306,-115.41183,https://www.mountainproject.com/route/120068329/center,0.6020599913279624
"The Warm Up (V0 2.5 2) 
 Back Flop (V4 2.0 3)",Belly Flop Boulder,39.3633,-119.7842,https://www.mountainproject.com/route/106321893/the-warm-up,0.3010299956639812
"Panic And Pain (V3 2.5 2) 
 Panic (V3 2.5 2)",Panic and Pain Boulder,39.89635,-119.64624,https://www.mountainproject.com/route/107247119/panic-and-pain,0.3010299956639812
"Beaker Waves (V1 2.5 2) 
 Owl Wave From Afar (V0 2.0 2)",Wave Boulder,39.36919,-119.69517,https://www.mountainproject.com/route/120391998/beaker-waves,0.3010299956639812
"Blunted Beak (V1 2.5 2) 
 Hoodidoodaday (V1 2.0 2) 
 Perch (V1 2.0 2)",Perch Boulder,39.36923,-119.69523,https://www.mountainproject.com/route/120393412/blunted-beak,0.3010299956639812
Angled Ascent (V1- 2.5 2),45 Degree Boulder,39.36357,-119.78388,https://www.mountainproject.com/route/117035617/angled-ascent,0.3010299956639812
"Brown Kisses (V0 2.7 3) 
 Down Wit Da Brown (V4+ 2.0 3) 
 Brown Kisses (Underclings Start) (V2 2.3 3)",Brown Kisses,36.0165,-115.46047,https://www.mountainproject.com/route/113507078/brown-kisses,0.47712125471966244
"Splitting Feathers (V2 2.5 2) 
 Glimfeather (V0 1.0 1) 
 Ascalaphus (V0 1.0 1)",Splitting Feathers Boulder,39.36912,-119.69537,https://www.mountainproject.com/route/120391708/splitting-feathers,0.3010299956639812
"Plug That Nose (V1 2.5 2) 
 Slotted (V0 2.0 1) 
 Just itchin' It (V0+ 1.5 2)",The Snout Wall,39.24296,-119.73988,https://www.mountainproject.com/route/116782072/plug-that-nose,0.3010299956639812
3rd Bird from the Sun (V4 2.5 2),Vulture Boulder,39.01779,-119.93959,https://www.mountainproject.com/route/120155775/3rd-bird-from-the-sun,0.3010299956639812
"Andy's Candies (V4 2.5 2) 
 Caramel Crimps (V1 2.0 1)",Andy's Candies,36.15999,-115.42302,https://www.mountainproject.com/route/119981210/andys-candies,0.3010299956639812
"Slot Straight Up (V3 2.3 7) 
 Exploding Blue Danube (V2 2.3 3) 
 Two Track Mind (V4 2.0 1) 
 Mercy Flush (V2- 1.7 3)",Wobble,36.1592,-115.50365,https://www.mountainproject.com/route/120275243/slot-straight-up,0.8450980400142568
"Varnishing point (V2 2.2 9) 
 Chet's arete (V0 2.0 5) 
 Right slab bulge (V2 2.0 4) 
 Chet's arete left (V2 1.5 2) 
 Short left sit (V0 1.0 1)",Warm Up Boulder,36.0144,-115.4608,https://www.mountainproject.com/route/110661767/varnishing-point,0.9542425094393249
"Baco Bits (V0- 2.5 4) 
 Traverse Al-Qaeda's Monkey Bars (V2 2.0 2) 
 Sizzleen (V-easy 1.0 2)",Left Twin,39.2424,-119.7404,https://www.mountainproject.com/route/106321017/baco-bits,0.6020599913279624
"Prehistoric Tails (V3 2.5 4) 
 Plucking Feathers (V1+ 2.3 6) 
 Cola de Buho (V1 1.7 3) 
 Culo de Buho (V0 1.5 2)",Tail Boulder,39.36896,-119.69587,https://www.mountainproject.com/route/120391412/prehistoric-tails,0.6020599913279624
Campus Problem (V4 1.9 17),Adjacent to Mr. Morangatang,36.1652,-115.41431,https://www.mountainproject.com/route/108595392/campus-problem,1.2304489213782739
"I can't believe it's not butterscotch (V-easy 2.4 7) 
 Probably Just Scotch (V4 2.3 3) 
 Probably not butter (V3 2.3 3) 
 Definitely not butterscotch (V1 2.0 8) 
 Werther's Original (V2 R 1.5 4)",Butterscotch Slab,39.27098,-119.9361,https://www.mountainproject.com/route/117036915/i-cant-believe-its-not-butterscotch,0.8450980400142568
"Pretzel Direct (V4 2.6 7) 
 Pretzel (V2 2.0 9) 
 Pretzel Left (V1 1.7 6)",Pretzel Boulder,36.15968,-115.41673,https://www.mountainproject.com/route/116355980/pretzel-direct,0.8450980400142568
Go For This Time (V4- 2.4 7),In Our Time Boulder,36.03605,-115.46476,https://www.mountainproject.com/route/121364798/go-for-this-time,0.8450980400142568
"Round Eye (V4 2.7 3) 
 Right arete (V-easy 2.0 5) 
 Dihedral (V1 1.9 7) 
 Traverse (V3 2.0 2) 
 Left Prow SDS (V3-4 1.5 2)",Keystone Boulder,39.556,-119.8489,https://www.mountainproject.com/route/106406821/round-eye,0.47712125471966244
Owl Leave the Lights On (V3 2.7 3),The Cave,39.36905,-119.69516,https://www.mountainproject.com/route/120391691/owl-leave-the-lights-on,0.47712125471966244
