Route,Location,Latitude,Longitude,URL
Side Split (5.8 V0 3.0 2) Mid Split (5.5 V-easy 2.5 2),Old Unsorted Routes,49.75807,-124.31172,https://www.mountainproject.com/route/106645826/side-split
The Big Traverse (V3 3.0 2) Thin Red Line (V3 2.0 2),Roadside Face,49.3167,-121.6673,https://www.mountainproject.com/route/106350217/the-big-traverse
Jugs (V0 3.0 2) Waiting for the Worms (V2 2.5 2) Dueling Banjos (V3 2.0 2),Tranquility Boulder,49.2964,-121.7847,https://www.mountainproject.com/route/107392947/jugs
Unknown (Flake Problem) (V4 3.0 2) Cling-On (V0 2.5 2) Nate's Undercling (V4 2.3 4),The Wave,49.34955,-121.58136,https://www.mountainproject.com/route/106489815/unknown-flake-problem
Frantic Antics (V4- 3.0 2) The Fang (V3 2.8 4) Summit To Mars (V2 2.5 2) The Flake (V2 2.0 4) Globetrotter (V1 2.0 3) Playback (V0 2.0 2) Lower (V2+ 2.0 2) GTA (V4- 2.0 2) Fin Traverse (V3- 2.0 2) Suckerfish Right (V4 2.0 2),East Boulders,49.2817,-121.7888,https://www.mountainproject.com/route/106344440/frantic-antics
Salmon Belly (V4 2.8 4),River Boulder,49.35798,-121.51297,https://www.mountainproject.com/route/118924375/salmon-belly
Boston Bruins (V3 2.4 9) Chicago Cubs (V3+ 2.1 7) Bare Bones (V1 2.3 3) Goldilocks (V2 2.3 4) Hang 10 (V3+ 2.3 4) Grizzly Adams (V2 2.0 5) The Poacher (V3 2.0 2),Bear Skull Boulders,49.34948,-121.58129,https://www.mountainproject.com/route/106448300/boston-bruins
Block Head (V1 2.8 4) Fist Crack (V0 2.5 2) Tear Drop (V0 2.3 3) Tree Squeeze (V1 2.3 3) Dyke Problem (V1 2.0 3),Green Eggs and Sam,49.35263,-123.24064,https://www.mountainproject.com/route/119022067/block-head
Ladybug Traverse (V2 2.7 3) Ladybird Roof Left (V4-5 2.7 3),Ladybird Roof,49.42336,-117.72904,https://www.mountainproject.com/route/114598923/ladybug-traverse
KFC (V3- 2.7 3) Boogie Cave (V1-2 2.5 2),KFC Boulder,49.3203,-121.4123,https://www.mountainproject.com/route/107144932/kfc
Not yet named (V2-3 2.5 4),Kamloops Bouldering **AREA CLOSED**,50.7129,-120.42479,https://www.mountainproject.com/route/106488053/not-yet-named
Time Arete (V1 2.3 6) Holier than thou (V1 2.0 2) The Pawn (V2 2.0 2),(b) Titanic South,49.67905,-123.15328,https://www.mountainproject.com/route/112033333/time-arete
Old Man Willow (V3- 2.3 6) Full Court Press (V3 2.0 4) Memphis (V0 2.0 3) Lovelace (V1 2.0 2),Old Man Willow,49.34954,-121.58106,https://www.mountainproject.com/route/106329495/old-man-willow
Slip and Slide (V4 2.5 2),(a) Campground Boulders,49.67655,-123.15291,https://www.mountainproject.com/route/117507759/slip-and-slide
The Crackdown (V3 2.5 2),Crack,49.34558,-117.75092,https://www.mountainproject.com/route/114534252/the-crackdown
Firedance (V3 2.5 2),Firedance Boulder,49.42536,-117.72606,https://www.mountainproject.com/route/114600260/firedance
Le Carrots son Quite (V2 2.5 2) Fun Toosh (V1 2.0 4),Boulder Gully,49.7098,-123.1406,https://www.mountainproject.com/route/122052513/le-carrots-son-quite
Hope Hero's (V1 2.5 2),The Chieftain Sector,49.30222,-121.26413,https://www.mountainproject.com/route/113141951/hope-heros
Service with a Smile (V0 2.5 2) Born to Fly (V1 2.0 2) Second Earth (V0+ 2.0 2) Model X (V0 2.0 2),Gravity Train,49.70563,-123.13987,https://www.mountainproject.com/route/122052638/service-with-a-smile
K&B Traverse? (V0 2.5 2),Cancer Tree,50.6372,-121.49669,https://www.mountainproject.com/route/108074234/kb-traverse
Carpet Bagger (V0-1 2.5 2) The X-Factor (V1-2 2.3 3) Achmed's Carpet Bazaar (V0+ 2.0 2),The Pyramid,49.34961,-121.58089,https://www.mountainproject.com/route/106442966/carpet-bagger
Noname Baby (V1 2.5 2),Campground Boulders,49.62679,-125.08622,https://www.mountainproject.com/route/106422246/noname-baby
Problem 1 (V1 2.5 2) Problem 2 (V0 2.0 2) Problem 3 (V0 2.0 2),Cabin Fever Boulders,49.3595,-121.4723,https://www.mountainproject.com/route/106652092/problem-1
Nose Pick'n (V3 2.5 2) Garnish (V0 2.0 2) Gnarlish (V0+ 2.0 2),Campground Boulder,49.3262,-121.4283,https://www.mountainproject.com/route/106744314/nose-pickn
that guys got a broom (V0-1 2.3 3),Shwabble Slab,49.30154,-122.69713,https://www.mountainproject.com/route/117370149/that-guys-got-a-broom
Green Fog (V1 2.0 3),Far Slab,49.34964,-121.58095,https://www.mountainproject.com/route/106453255/green-fog
Surfs Up (V3 2.0 2),Spirit Boulders,49.358,-121.51294,https://www.mountainproject.com/route/121018036/surfs-up
Alien (V1 2.0 2),Prawn Boulder,49.35023,-121.57723,https://www.mountainproject.com/route/119233616/alien
Electric Avenue (V3 2.0 2),Power-Line,49.34558,-117.7509,https://www.mountainproject.com/route/114543388/electric-avenue
Alpine Motel (V4 2.0 2),Tourista Boulder,49.51535,-117.26322,https://www.mountainproject.com/route/114483199/alpine-motel
Leonard Nemoy (V2 2.0 2),Spock Block,49.3528,-117.77077,https://www.mountainproject.com/route/114532826/leonard-nemoy
just another day (V2 2.0 2) TreeBeard's Revenge (V1 2.0 2) Multiple Choice (V-easy 2.0 2),Sumas Mountain Boulder,49.1219,-122.1895,https://www.mountainproject.com/route/106690033/just-another-day
Mr. Bailey (V2 2.0 2) Mr. Barnum (V3 2.0 2),The Balcony Sector,49.3495,-121.58145,https://www.mountainproject.com/route/106835193/mr-bailey
Problem  4 (V1 2.0 2) Problem 1 (V0 2.0 2) Problem 2 (V1 2.0 2),The Big Bang Boulders,49.3635,-121.5432,https://www.mountainproject.com/route/106349911/problem-4
Shitter Crack (5.11- V2- 3.0 2),Applebee bouldering,50.7441,-116.76574,https://www.mountainproject.com/route/121096187/shitter-crack
