Route,Location,Latitude,Longitude,URL,votes_most_log
"Hookers are fun! (V2 3.0 50) 
 Silly Little Dirty (V2 2.8 67) 
 The Tongue (V2 2.8 62) 
 Gimmie Some (V0 2.1 70) 
 Crown Jewel (V4 PG13 2.8 34) 
 Tsunami (V4 2.9 35) 
 Tsunami Arete (V4 2.8 43) 
 Crown of Thorns (V3 2.5 36) 
 Double Fisted (V5 2.7 21) 
 Stairway to Heaven (V4 2.8 13) 
 Fisticuffs (V5 2.8 8) 
 Table Topper (V5 2.4 17)",Entrance Boulders,33.35761,-112.00958,https://www.mountainproject.com/route/106672009/hookers-are-fun,1.6989700043360187
Tater Toes (V5- 2.5 61),Tatter Toes Boulder,35.08112,-111.60494,https://www.mountainproject.com/route/106132823/tater-toes,1.7853298350107671
"The Yoker (V3 3.0 49) 
 Dope Smoker (V4 2.7 29)",The Egg,35.08209,-111.60164,https://www.mountainproject.com/route/106158129/the-yoker,1.6901960800285136
"Twister (V6 3.3 54) 
 Floor Pie (V6+ 3.5 43) 
 Big Ed's Flying Saucer (V4 2.3 56) 
 The Pasty Gangster (V9-10 3.5 4) 
 The Egyptian aka Action Deluxe (V11 3.3 10) 
 Saltine Cracker (V8 2.9 7) 
 Low Pie aka The Lumberjack (V8 3.0 6)",Floor Pie Roof / Flying Saucer,35.08212,-111.60568,https://www.mountainproject.com/route/106372847/twister,1.7323937598229686
"Donkey Punch (V6+ 3.7 35) 
 Dope Lounge (V5 PG13 3.7 32) 
 Icy Mike (V2-3 3.2 33) 
 Huck Finn (V3+ PG13 3.4 33) 
 The Slab (V5-6 3.3 27) 
 Green Mile Direct (V8-9 3.4 26) 
 Cleveland Steamer (V6+ 3.8 13) 
 The Traverse (V7-8 3.4 16) 
 Tom Sawyer (V2+ PG13 4.0 2) 
 Complexing Napoleon (V8-9 3.0 1) 
 Pressure Drop (V6 4.0 1) 
 Last Light (V5 3.8 5) 
 Iron Monkey (V3 2.9 26) 
 Hanuman (V7- PG13 3.7 3) 
 Pinball Wizard (V3 3.2 10) 
 Run for the Hills? (5.9 V2 X 3.5 4) 
 Chinese Gangfight (V5 2.8 19) 
 [Redacted] (V6- 3.3 7) 
 Half Traverse (V4 2.9 17) 
 Gym Wall Center (V4 3.0 11) 
 The Extreme Problem (V4 2.9 14) 
 Mother Approved (V8 PG13 3.0 7) 
 Stables Away! (V2+ 2.8 12) 
 Dirty Friction (V4 3.2 5) 
 Guns in Bars (V6 2.8 5) 
 On Wisconsin (V2-3 3.0 2) 
 Jim (V3 3.0 1)",Donkey Punch Area,35.0655,-111.6959,https://www.mountainproject.com/route/106155131/donkey-punch,1.5440680443502757
"The Receptionist (V10 4.0 35) 
 Lolita (V10+ 4.0 10) 
 The Girl from Ipanema (V11 3.9 12) 
 The Girl (V10 3.5 24) 
 The Stewardess (V13 4.0 1) 
 F&P (V13 4.0 1) 
 Navajo Thunder (V11 4.0 1) 
 Cokey Smurf (V12 4.0 1) 
 Suplexing (V10-11 3.7 3)",Mars Roof,35.07832,-111.61925,https://www.mountainproject.com/route/106597886/the-receptionist,1.5440680443502757
"Booze Pig (V6 3.9 45) 
 When the Bible is a Bottle (V7 3.9 34) 
 A Hardwood Floor is Home (V8 3.7 18) 
 Honey Berry (V6-7 3.7 7) 
 Undercling Fling (V2-3 3.0 28) 
 Underage Consumption (V-easy 3.0 6) 
 On Liquor I Spent my Last Dime (V5 3.1 16) 
 Punch Drunk Sunrise (V8+ 3.5 4) 
 Empty as a Pocket (V5 3.0 3) 
 Back on the Wagon (V3 3.0 1)",G. Booze Pig Wall,35.11339,-111.58081,https://www.mountainproject.com/route/106062994/booze-pig,1.6532125137753437
"Bump to Conclusions (V3 3.9 60) 
 Sea King (5.11b V4 3.7 35) 
 Easy Street (5.10a V2 3.7 27) 
 Atta Pepper (5.12 V5-6 3.9 9) 
 Datura Crack (V1-2 3.5 27) 
 Avanyu (V6 4.0 2) 
 Flotsam (V4-5 4.0 3) 
 Wrath of Kong (V5- 3.4 21) 
 The Shield (5.11 V3 3.4 18) 
 Daisy (V3 3.3 4) 
 Small warm up boulder (V1 2.8 17) 
 Patina's Abandonment (5.10- V1-2 2.9 13) 
 Easy Peasy (5.4 V0 3.6 8) 
 Bird's Beak (V3 3.0 5) 
 Dirty Dancing (V6 3.0 2) 
 Lucky Lizard (V1+ 2.3 3)",DWS East Side,34.95661,-110.65823,https://www.mountainproject.com/route/107258980/bump-to-conclusions,1.7781512503836436
"Centerpiece (V2 3.7 54) 
 Block Roof (V5 PG13 3.7 23) 
 Block Arete (V3-4 3.5 17) 
 Commando (V4-5 3.0 25) 
 Double Dip Right (V4 3.4 15) 
 Community Service (V4 2.9 17) 
 The Mattson Problem (V10 3.7 3) 
 Sit up Stand up (V1-2 3.3 4) 
 Flake (V2 2.9 20) 
 Layback Flake (V1 2.5 24) 
 The Hole (V0 2.1 24) 
 Highball Face, Right Side (V1+ 2.8 13) 
 Willful Unconsciousness (V6+ 3.1 9) 
 Super Sloper or Left Face (V3 3.0 8)",Buffalo Park,35.2191,-111.6287,https://www.mountainproject.com/route/106072226/centerpiece,1.7323937598229686
"Alien Baby Left (V6- 3.6 62) 
 Alien Baby Right (V9 3.3 18) 
 Black Tide (V2 PG13 3.5 22) 
 Big Sexy (V9 3.3 12) 
 Slip n' Slide (V5 3.3 4) 
 Compression Session (V8 3.2 7) 
 Crack Factory (V6 2.7 17) 
 O.B.E. (Out of Body Experience) (V4 3.0 3)",Gerdame/Alien Baby Boulder,34.87231,-111.75381,https://www.mountainproject.com/route/106326084/alien-baby-left,1.792391689498254
