Route,Location,Latitude,Longitude,URL
"Lunge For It (aka All Lunged Out) (V3 2.5 34) 
 Warm-up (V1 2.0 21)",Sandy Wash Corridor,33.98848,-116.16102,https://www.mountainproject.com/route/105723310/lunge-for-it-aka-all-lunged-out
Scorpion Traverse (V4 R 3.2 19),Scorpion Roof,34.1,-116.6,https://www.mountainproject.com/route/106111471/scorpion-traverse
[Redacted] (V0+ 2.9 23),The Hat,34.01126,-116.16755,https://www.mountainproject.com/route/106118154/redacted
Classic Curl (V1- 2.8 25),Black Velvet Boulder,34.00946,-116.1687,https://www.mountainproject.com/route/106073934/classic-curl
"Upsidedown Pineapple (V1+ 2.7 26) 
 Twisted Sister (V2 2.7 10)",Campsite Grotto,34.01711,-116.16062,https://www.mountainproject.com/route/105722206/upsidedown-pineapple
"Lechlinski Corner (V3 2.6 27) 
 True Grit (V3 2.6 16) 
 Penny Pincher (V0- 1.6 34) 
 Two Stroke (V3 2.1 18) 
 JBMF Descent Route (V-easy 1.0 15)",JBMF Boulder,34.0152,-116.16631,https://www.mountainproject.com/route/105725446/lechlinski-corner
Native Arete (V0 3.1 17),Native Arete Boulder,34.02648,-116.14181,https://www.mountainproject.com/route/106345888/native-arete
"Chocolate Roof Left (V4 2.9 22) 
 Chocolate Roof Right (V3 2.2 16)",Chocolate Roof,34.06282,-116.22616,https://www.mountainproject.com/route/109989625/chocolate-roof-left
"Prince Hoi (V2 2.5 29) 
 Foot Fetish (V2 2.5 18) 
 Hoi Polloi (V0 2.0 22) 
 Multi Grain (V0 1.6 11)",Hoi Polloi Boulder,33.98601,-116.15936,https://www.mountainproject.com/route/106059780/prince-hoi
"Peabrain (V4 3.1 14) 
 Ceres (V-easy 1.8 17) 
 Pioneer (V-easy 1.6 15) 
 Nebula (V-easy 1.7 13)",The Asteroid Boulder,34.01197,-116.15127,https://www.mountainproject.com/route/106275707/peabrain
"Sit Down Flake (V2 2.1 37) 
 West Face (V-easy 2.1 30) 
 Dino's Egg (V0 R 2.1 30) 
 Platypus (V0 2.0 18) 
 West Face - Right (V-easy 1.9 17) 
 The Clutch (V0- 1.5 23) 
 The Egg Timer (V-easy 1.6 12) 
 West Face Arete (V-easy 1.5 13)",Dino's Egg,34.02051,-116.16504,https://www.mountainproject.com/route/106044191/sit-down-flake
3-Star Lieback (5.9 V0- 3.3 13),Star Boulder,33.95522,-116.09084,https://www.mountainproject.com/route/114338783/3-star-lieback
Painted Savage (V1 2.4 29),Painted Savage Boulder,33.98326,-116.15094,https://www.mountainproject.com/route/108106134/painted-savage
Unnamed (V3 2.7 21),Nicole Boulder,33.99779,-116.1536,https://www.mountainproject.com/route/108682718/unnamed
"Shipwreck (V3 R 3.2 11) 
 Fist Full of Walnuts (V3 3.1 12)",Shipwreck Boulder,34.00983,-116.16681,https://www.mountainproject.com/route/106069186/shipwreck
Hall of Mirrors (V-easy 2.8 18),Horrors Boulder,33.99763,-116.14705,https://www.mountainproject.com/route/106125083/hall-of-mirrors
"Monkey Gone to Heaven (V3 2.4 26) 
 Pixie Dust (V1 2.4 23) 
 Velouria (V0 2.0 22) 
 Pixie Slab Center (V-easy 1.4 19) 
 Pixie Slab Left (V0- 1.4 19) 
 Pixie Problem (V1 1.7 11) 
 Pixie Slab Right (V-easy 1.4 14)",Pixie Boulder,34.09441,-116.15612,https://www.mountainproject.com/route/106400474/monkey-gone-to-heaven
Trashman Roof (5.9 V0 2.4 27),King Dome - East Face,34.00317,-116.14936,https://www.mountainproject.com/route/105722044/trashman-roof
"Attractive Brunette (V2 1.8 39) 
 Brunette Torpedo (V3 2.7 13) 
 Attractive Brunette Throw (V2 1.8 11) 
 Torpedo (V0 1.5 10)",Chocolate Boulder 3,34.06269,-116.22639,https://www.mountainproject.com/route/105789815/attractive-brunette
"Solitaire (V0 2.6 22) 
 Sakura (V2 2.5 15) 
 Fish (V-easy 2.1 20) 
 Faro (V1 2.2 14) 
 Euchre (V-easy 1.9 16) 
 Blurb (V-easy 1.8 16) 
 Canasta (V0- 1.6 18)",Split Boulder,34.00254,-116.14998,https://www.mountainproject.com/route/106120180/solitaire
"Powell Face (V3 2.6 21) 
 Largo Dyno (V4 2.4 11)",Powell Boulder,34.02547,-116.1645,https://www.mountainproject.com/route/106048308/powell-face
Trout Chow (V0- 2.0 34),Purina Wall,34.02029,-116.16571,https://www.mountainproject.com/route/105725482/trout-chow
"Hensel Arete (V0+ 2.1 32) 
 Slabmaster (V3 2.8 16) 
 Scoops (V-easy 1.7 34) 
 Hensel Face (V0 1.8 28) 
 Scoop Problem (V2 2.3 13) 
 Pocket Change (V1 2.4 11)",Hensel Boulder,34.01824,-116.16346,https://www.mountainproject.com/route/106224136/hensel-arete
King Smear (Friction Addiction) (V3 3.3 10),Mutant Boulder,34.02247,-116.16414,https://www.mountainproject.com/route/112454269/king-smear-friction-addiction
"Secret Samurai (V4 PG13 2.7 18) 
 Like a Ninja (V3 PG13 2.2 10)",Ninja Boulder,34.02746,-116.14474,https://www.mountainproject.com/route/108806381/secret-samurai
"False Tidal Wave (V4-5 2.2 28) 
 Stoney Point Problem (aka Bambam) (V3 1.9 17)",Tidal Wave Boulder,34.02066,-116.16503,https://www.mountainproject.com/route/112454209/false-tidal-wave
"Intersection Traverse (V1 2.9 15) 
 Knuckle Cracker (V-easy 2.3 23) 
 Augie Problem (V0 1.9 12)",Intersection Rock,34.01538,-116.16346,https://www.mountainproject.com/route/106463932/intersection-traverse
