Route,Location,Latitude,Longitude,URL
"Give Me Face (5.7 4.0 2) (Sport 1 80.0) 
 Gomer Line (5.9 4.0 2) (Sport 1 70.0) 
 Expressway (5.9 3.7 3) (Sport 3 255.0) 
 Squeeze Me In (5.9 3.0 2) (Sport 1 80.0) 
 Southern Comfort (5.10b 3.0 2) (Sport 1 80.0)",Gomer Wall,49.77624,-119.53432,https://www.mountainproject.com/route/118748131/give-me-face
"Pale Rider (5.11c 4.0 2) (Sport 2 220.0) 
 Space Cowboys (5.10b 3.0 2) (Sport 3 215.0) 
 Bloodwork (5.11a 3.0 2) (Sport 3 180.0)",Clint Eastwood Crag,49.99499,-123.31124,https://www.mountainproject.com/route/116960128/pale-rider
"The Pillary (5.10d 3.6 10) (Sport 1 75.0) 
 A Beautiful Day (5.9 2.9 16) (Sport 1 35.0) 
 Le Grande Fromage (5.10d 3.0 3) (Sport 1 55.0)",Pillary,49.89459,-123.16414,https://www.mountainproject.com/route/114432307/the-pillary
The Lazy Dog (5.10b 4.0 2) (Sport 1 90.0),Helheim,49.69646,-117.5795,https://www.mountainproject.com/route/114603605/the-lazy-dog
Taming of the Shrew (5.12a 4.0 2) (Sport 1 82.0),Centre Stage,49.82411,-119.36582,https://www.mountainproject.com/route/118759199/taming-of-the-shrew
"Soulfight (5.12a/b 4.0 2) (Sport 1 60.0) 
 Koto (5.11+ 3.0 2) (Sport 1 60.0)",Art Exhibit,49.76215,-123.13118,https://www.mountainproject.com/route/121992615/soulfight
"Shots Fired (5.12b 4.0 2) (Sport 1 nan) 
 Stem or Struggle (5.10d 3.5 2) (Sport 1 nan) 
 Squampton Sticker on a Rollls Royce (5.11c 3.0 2) (Sport 1 nan) 
 Middle Aged Madness (5.12a 3.0 3) (Sport 1 nan)",Valleycliffe Heights,49.71458,-123.10327,https://www.mountainproject.com/route/114461570/shots-fired
"Ticks and Thunder (5.11 4.0 2) (Sport 1 90.0) 
 Kung Fu Magoo (5.10d 3.5 2) (Sport 1 60.0) 
 Badger (5.9 3.3 4) (Sport 1 50.0)",Waterfall Walls,49.3441,-117.83936,https://www.mountainproject.com/route/114584704/ticks-and-thunder
"Grandpa Smurf (5.8 4.0 2) (Sport 1 nan) 
 Kiss Me Where it Smells Funny (5.12a 4.0 2) (Sport 1 nan) 
 Smurfette Gets Pumped (5.11a 4.0 2) (Sport 1 nan) 
 Gargamel (5.11a 3.0 3) (Sport 1 nan)",Exchamsiks,54.32502,-129.31049,https://www.mountainproject.com/route/118975139/grandpa-smurf
"Super Grover (5.11b 4.0 2) (Sport 1 nan) 
 Lieutenant (5.10d 3.7 6) (Sport 1 65.0) 
 Grana Padano (5.11d 3.5 2) (Sport 1 90.0) 
 Feather Quest (5.12a 3.3 3) (Sport 1 90.0) 
 Angry Birds (5.12a 3.0 2) (Sport 1 90.0)",Raven Wall,49.27828,-117.66089,https://www.mountainproject.com/route/122449016/super-grover
"8. Delta Triple (5.10a 4.0 2) (Trad, TR 1 30.0) 
 9. L.W.T (5.9 3.5 2) (Trad, TR 1 25.0)",Anchor Crag,49.4787,-123.7642,https://www.mountainproject.com/route/107551108/8-delta-triple
"Parks BC (5.11b 4.0 2) (Sport 1 65.0) 
 Rather jolly actually (5.11a 3.5 2) (Sport 1 65.0) 
 Rather off white (5.12a 3.0 3) (Sport 1 70.0)",(f) Off White,49.44809,-119.56169,https://www.mountainproject.com/route/117850729/parks-bc
"Dreams Be Dreams (5.12b 4.0 2) (Sport 1 80.0) 
 Banana Bypass (5.11c 3.1 8) (Sport 1 80.0) 
 My Mother Loves Me (5.11b/c 3.0 6) (Sport 1 80.0)",(d) Maternal Wall,49.44543,-119.56434,https://www.mountainproject.com/route/109027319/dreams-be-dreams
Roypnol (5.12b/c 4.0 2) (Sport 1 86.0),Around the corner from Lower Beach,49.30045,-121.93781,https://www.mountainproject.com/route/110716369/roypnol
Mister Kloke (5.12a 4.0 2) (Sport 1 55.0),Belvedere,49.43712,-119.55336,https://www.mountainproject.com/route/122449203/mister-kloke
"Flashdance (5.11a 3.7 7) (Sport 1 85.0) 
 Supertramp (5.11a 3.5 2) (Sport 1 85.0) 
 Forty and Something (5.10b 3.2 5) (Sport 2 150.0) 
 Aerie In-Cuts (5.7 3.0 3) (Sport 1 nan)",Raptor Wall,50.93564,-118.20433,https://www.mountainproject.com/route/114483700/flashdance
"Colin de Bin (5.10a 3.3 16) (Sport 1 75.0) 
 Stone Have Mercy (5.11c 3.4 8) (Sport 1 90.0) 
 Chalant (5.11b 3.3 6) (Sport 1 75.0) 
 Prudence and Pluck (5.10c 2.9 11) (Sport 1 70.0) 
 Lowbrow Hijinks (5.10d 3.0 4) (Sport 1 85.0) 
 Hokey Pokey (5.8 2.8 8) (Sport 1 65.0) 
 Le Trash Blanc (5.9 2.7 7) (Sport 1 60.0)",Boondocks,49.89459,-123.16407,https://www.mountainproject.com/route/114432210/colin-de-bin
